accession	organism	kingdom	length	sp_cleavage_site	label	tm_helix_start_leq_90	fold
Q8NBK3	Homo sapiens	Metazoa	374	33.0	1		3
P15737	Hordeum vulgare	Plants	334	28.0	1		3
Q25154	Homarus americanus	Metazoa	134	24.0	1		3
P28906	Homo sapiens	Metazoa	385	31.0	1		3
P10493	Mus musculus	Metazoa	1245	28.0	1		3
O75556	Homo sapiens	Metazoa	95	18.0	1		3
Q90Y77	Protobothrops flavoviridis	Metazoa	138	16.0	1		3
Q64550	Rattus norvegicus	Metazoa	535	29.0	1		3
P12346	Rattus norvegicus	Metazoa	698	19.0	1		3
F8S0Z5	Crotalus adamanteus	Metazoa	516	18.0	1		3
P00683	Mus musculus	Metazoa	149	25.0	1		3
Q9H4G1	Homo sapiens	Metazoa	147	28.0	1		3
P30040	Homo sapiens	Metazoa	261	32.0	1		3
Q9U8D1	Olivierus martensii	Metazoa	56	28.0	1		3
P84296	Chironomus thummi thummi	Metazoa	161	16.0	1		3
Q9U572	Penaeus monodon	Metazoa	1670	14.0	1		3
Q86QT3	Centruroides noxius	Metazoa	62	20.0	1		3
Q8UUG2	Morone chrysops	Metazoa	79	22.0	1		3
P17454	Oryctolagus cuniculus	Metazoa	482	26.0	1		3
P10968	Triticum aestivum	Plants	212	26.0	1		3
Q9FRV1	Secale cereale	Plants	321	19.0	1		3
P24807	Mus musculus	Metazoa	76	26.0	1		3
Q9NAX4	Dictyostelium discoideum	Other	464	17.0	1		3
P02775	Homo sapiens	Metazoa	128	34.0	1		3
P22455	Homo sapiens	Metazoa	802	21.0	1		3
Q6EER4	Bothriechis schlegelii	Metazoa	138	16.0	1		3
P02662	Bos taurus	Metazoa	214	15.0	1		3
Q9VMD9	Drosophila melanogaster	Metazoa	2188	18.0	1		3
G4ZHR2	Phytophthora sojae (strain P6497)	Other	241	19.0	1		3
K9MCH1	Micrurus laticollaris	Metazoa	81	21.0	1		3
P01236	Homo sapiens	Metazoa	227	28.0	1		3
Q9DF69	Gallus gallus	Metazoa	594	18.0	1		3
P36222	Homo sapiens	Metazoa	383	21.0	1		3
Q9NZ53	Homo sapiens	Metazoa	605	32.0	1		3
O00092	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	465	26.0	1		3
Q9U8W7	Tachypleus tridentatus	Metazoa	316	27.0	1		3
Q63376	Rattus norvegicus	Metazoa	662	46.0	1		3
Q4PRD1	Daboia siamensis	Metazoa	146	23.0	1		3
P08887	Homo sapiens	Metazoa	468	19.0	1		3
Q9YGP1	Trimeresurus stejnegeri	Metazoa	158	23.0	1		3
P01076	Solanum lycopersicum	Plants	77	32.0	1		3
Q8X150	Gaeumannomyces tritici	Fungi	618	16.0	1		3
P01189	Homo sapiens	Metazoa	267	26.0	1		3
Q8H6Q0	Petunia hybrida	Plants	101	25.0	1		3
Q15465	Homo sapiens	Metazoa	462	23.0	1		3
Q9XIV8	Nicotiana tabacum	Plants	330	29.0	1		3
Q9XY87	Olivierus martensii	Metazoa	85	21.0	1		3
C1IC48	Walterinnesia aegyptia	Metazoa	83	21.0	1		3
O64392	Triticum aestivum	Plants	146	21.0	1		3
Q9Z0L3	Mus musculus	Metazoa	485	17.0	1		3
P13487	Leiurus hebraeus	Metazoa	59	22.0	1		3
Q9VYX7	Drosophila melanogaster	Metazoa	203	26.0	1		3
Q8T0W4	Pimpla hypochondriaca	Metazoa	77	23.0	1		3
Q7ZZN9	Protobothrops jerdonii	Metazoa	240	19.0	1		3
Q6DWK3	Colletotrichum lindemuthianum	Fungi	248	26.0	1		3
Q8J0K5	Talaromyces funiculosus	Fungi	282	39.0	1		3
O46167	Eratigena agrestis	Metazoa	68	17.0	1		3
O94907	Homo sapiens	Metazoa	266	31.0	1		3
O18330	Apis mellifera	Metazoa	432	19.0	1		3
P25796	Cavia porcellus	Metazoa	391	19.0	1		3
Q8JFX7	Bungarus multicinctus	Metazoa	103	21.0	1		3
Q27081	Tachypleus tridentatus	Metazoa	400	23.0	1		3
Q99467	Homo sapiens	Metazoa	661	23.0	1		3
P01268	Bos taurus	Metazoa	115	25.0	1		3
P15467	Bos taurus	Metazoa	147	28.0	1		3
P0DPV1	Scolopendra dehaani	Metazoa	97	23.0	1		3
P19594	Glycine max	Plants	158	21.0	1		3
P31723	Penicillium citrinum	Fungi	511	35.0	1		3
P02742	Oryctolagus cuniculus	Metazoa	225	20.0	1		3
P0C908	Buthus israelis	Metazoa	59	22.0	1		3
O95994	Homo sapiens	Metazoa	175	20.0	1		3
P20333	Homo sapiens	Metazoa	461	22.0	1		3
P14944	Carcinus maenas	Metazoa	142	26.0	1		3
Q27972	Bos taurus	Metazoa	361	24.0	1		3
Q3HLQ4	Protobothrops mucrosquamatus	Metazoa	138	16.0	1		3
P22922	Bombyx mori	Metazoa	392	16.0	1		3
Q6H3C7	Trimeresurus stejnegeri	Metazoa	139	16.0	1		3
P29392	Bos taurus	Metazoa	134	20.0	1		3
Q8JI40	Gloydius blomhoffii	Metazoa	240	19.0	1		3
P25331	Bombyx mori	Metazoa	88	26.0	1		3
P81294	Juniperus ashei	Plants	367	21.0	1		3
P01131	Bos taurus	Metazoa	845	21.0	1		3
O00300	Homo sapiens	Metazoa	401	21.0	1		3
A0A2I6QB00	Trametes coccinea (strain BRFM310)	Fungi	418	18.0	1		3
Q5D231	Illawarra wisharti	Metazoa	84	18.0	1		3
X2JCV5	Cerastes cerastes	Metazoa	516	18.0	1		3
Q8JIW1	Deinagkistrodon acutus	Metazoa	146	23.0	1		3
P42705	Canis lupus familiaris	Metazoa	352	23.0	1		3
P09056	Mus musculus	Metazoa	203	23.0	1		3
P55000	Homo sapiens	Metazoa	103	22.0	1		3
P40967	Homo sapiens	Metazoa	661	24.0	1		3
P81025	Oreochromis niloticus	Metazoa	113	24.0	1		3
P05543	Homo sapiens	Metazoa	415	20.0	1		3
P07380	Equus caballus	Metazoa	181	18.0	1		3
P69241	Raphanus sativus	Plants	80	29.0	1		3
E0XKJ8	Tabanus yao	Metazoa	256	16.0	1		3
P51918	Haplochromis burtoni	Metazoa	94	22.0	1		3
Q15084	Homo sapiens	Metazoa	440	19.0	1		3
P68416	Hydrophis hardwickii	Metazoa	81	21.0	1		3
P14765	Ovis aries	Metazoa	97	28.0	1		3
I6RU32	Scolopendra mutilans	Metazoa	74	23.0	1		3
Q9V496	Drosophila melanogaster	Metazoa	3351	25.0	1		3
P10298	Cyprinus carpio	Metazoa	210	23.0	1		3
O42446	Oreochromis mossambicus	Metazoa	284	26.0	1		3
P20757	Ovis aries	Metazoa	476	24.0	1		3
P45561	Sus scrofa	Metazoa	189	16.0	1		3
Q8LD43	Arabidopsis thaliana	Plants	62	22.0	1		3
P07529	Naganishia albida	Fungi	332	21.0	1		3
Q8J0D2	Geotrichum sp. (strain M128)	Fungi	812	23.0	1		3
P31720	Rattus norvegicus	Metazoa	245	22.0	1		3
P80109	Bos taurus	Metazoa	839	23.0	1		3
Q8H8C7	Oryza sativa subsp. japonica	Plants	356	28.0	1		3
P0C2F4	Heterometrus laoticus	Metazoa	95	19.0	1		3
P00751	Homo sapiens	Metazoa	764	25.0	1		3
O77801	Bos taurus	Metazoa	132	21.0	1		3
P30120	Rattus norvegicus	Metazoa	217	23.0	1		3
P56595	Canis lupus familiaris	Metazoa	88	26.0	1		3
P01303	Homo sapiens	Metazoa	97	28.0	1		3
P45658	Androctonus australis	Metazoa	84	19.0	1		3
P01780	Homo sapiens	Metazoa	117	19.0	1		3
Q43418	Colocasia esculenta	Plants	229	23.0	1		3
P02770	Rattus norvegicus	Metazoa	608	18.0	1		3
Q7T3J2	Bungarus candidus	Metazoa	95	21.0	1		3
P01238	Sus scrofa	Metazoa	229	30.0	1		3
Q6UWN8	Homo sapiens	Metazoa	80	23.0	1		3
Q5ZPR3	Homo sapiens	Metazoa	534	28.0	1		3
Q96FE7	Homo sapiens	Metazoa	263	21.0	1		3
Q00193	Oryctolagus cuniculus	Metazoa	540	24.0	1		3
P10281	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	276	17.0	1		3
Q8I0L5	Olivierus martensii	Metazoa	59	22.0	1		3
P81827	Rattus norvegicus	Metazoa	101	21.0	1		3
P01023	Homo sapiens	Metazoa	1474	23.0	1		3
Q7ZZN8	Naja atra	Metazoa	238	19.0	1		3
Q9YGJ0	Bungarus multicinctus	Metazoa	89	21.0	1		3
P31358	Homo sapiens	Metazoa	61	24.0	1		3
Q9P2K2	Homo sapiens	Metazoa	825	27.0	1		3
P28053	Bos taurus	Metazoa	469	18.0	1		3
P07151	Rattus norvegicus	Metazoa	119	20.0	1		3
P35590	Homo sapiens	Metazoa	1138	21.0	1		3
Q5UCC4	Homo sapiens	Metazoa	262	25.0	1		3
P50895	Homo sapiens	Metazoa	628	31.0	1		3
P01764	Homo sapiens	Metazoa	117	19.0	1		3
Q6PSU2	Arachis hypogaea	Plants	172	21.0	1		3
Q7YT16	Musca domestica	Metazoa	141	19.0	1		3
Q8TCT7	Homo sapiens	Metazoa	592	25.0	1		3
P41822	Aedes aegypti	Metazoa	209	27.0	1		3
P43174	Ambrosia psilostachya	Plants	77	22.0	1		3
P01782	Homo sapiens	Metazoa	118	19.0	1		3
P20058	Oryctolagus cuniculus	Metazoa	460	25.0	1		3
P0CC12	Odontobuthus doriae	Metazoa	57	28.0	1		3
P0C194	Opisthacanthus madagascariensis	Metazoa	63	21.0	1		3
F8S0Y4	Crotalus adamanteus	Metazoa	240	19.0	1		3
P11279	Homo sapiens	Metazoa	417	28.0	1		3
Q91055	Heloderma horridum horridum	Metazoa	242	19.0	1		3
P12820	Bos taurus	Metazoa	1306	28.0	1		3
P00772	Sus scrofa	Metazoa	266	16.0	1		3
P52193	Bos taurus	Metazoa	417	17.0	1		3
O57690	Protobothrops flavoviridis	Metazoa	200	19.0	1		3
P05452	Homo sapiens	Metazoa	202	21.0	1		3
P52706	Prunus serotina	Plants	563	27.0	1		3
Q6H3D7	Trimeresurus stejnegeri	Metazoa	137	16.0	1		3
C0HKC3	Agkistrodon piscivorus leucostoma	Metazoa	139	16.0	1		3
Q9N2D3	Callithrix jacchus	Metazoa	388	16.0	1		3
P97710	Rattus norvegicus	Metazoa	509	31.0	1		3
P01715	Homo sapiens	Metazoa	115	20.0	1		3
C0HKM3	Conus purpurascens	Metazoa	458	18.0	1		3
Q29486	Felis catus	Metazoa	524	17.0	1		3
Q07081	Aquarana catesbeiana	Metazoa	464	16.0	1		3
P22458	Oryctolagus cuniculus	Metazoa	475	19.0	1		3
Q9QXU1	Mesocricetus auratus	Metazoa	172	15.0	1		3
O95967	Homo sapiens	Metazoa	443	23.0	1		3
P00749	Homo sapiens	Metazoa	431	20.0	1		3
P01588	Homo sapiens	Metazoa	193	27.0	1		3
P43497	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	92	20.0	1		3
P13595	Mus musculus	Metazoa	1115	19.0	1		3
P22146	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	559	22.0	1		3
Q7Z5A7	Homo sapiens	Metazoa	132	43.0	1		3
P02872	Arachis hypogaea	Plants	273	23.0	1		3
P07267	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	405	22.0	1		3
Q17058	Apis mellifera	Metazoa	567	17.0	1		3
P98184	Bryonia dioica	Plants	282	21.0	1		3
P85197	Lonomia obliqua	Metazoa	180	16.0	1		3
P22362	Homo sapiens	Metazoa	96	23.0	1		3
Q01774	Drosophila miranda	Metazoa	112	16.0	1		3
L7VIN3	Hermetia illucens	Metazoa	69	23.0	1		3
P26011	Mus musculus	Metazoa	806	19.0	1		3
B5U6Y4	Echis ocellatus	Metazoa	138	16.0	1		3
Q9Y0X9	Aedes albopictus	Metazoa	59	23.0	1		3
P01038	Gallus gallus	Metazoa	139	23.0	1		3
Q14520	Homo sapiens	Metazoa	560	23.0	1		3
Q62192	Mus musculus	Metazoa	661	20.0	1		3
D3JXM1	Mesobuthus eupeus	Metazoa	59	22.0	1		3
P27275	Amaranthus caudatus	Plants	86	25.0	1		3
Q9XTN0	Bombyx mori	Metazoa	196	23.0	1		3
Q12396	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	444	46.0	1		3
Q9PWF3	Crotalus durissus terrificus	Metazoa	65	22.0	1		3
P97430	Mus musculus	Metazoa	131	25.0	1		3
Q9UAC9	Olivierus martensii	Metazoa	85	19.0	1		3
P58294	Homo sapiens	Metazoa	105	19.0	1		3
P01566	Homo sapiens	Metazoa	189	23.0	1		3
P11215	Homo sapiens	Metazoa	1152	16.0	1		3
P86404	Mesobuthus eupeus	Metazoa	86	19.0	1		3
P06028	Homo sapiens	Metazoa	91	19.0	1		3
Q8MJV4	Bos taurus	Metazoa	122	24.0	1		3
P05099	Gallus gallus	Metazoa	493	23.0	1		3
P00625	Ovophis okinavensis	Metazoa	139	16.0	1		3
Q6UXB8	Homo sapiens	Metazoa	463	27.0	1		3
P01591	Homo sapiens	Metazoa	159	22.0	1		3
Q9NS68	Homo sapiens	Metazoa	423	29.0	1		3
P01083	Triticum aestivum	Plants	153	30.0	1		3
Q9SW93	Lilium longiflorum	Plants	113	22.0	1		3
P49125	Latrodectus tredecimguttatus	Metazoa	88	18.0	1		3
P79208	Ovis aries	Metazoa	603	16.0	1		3
P02221	Chironomus thummi thummi	Metazoa	158	15.0	1		3
P01484	Androctonus australis	Metazoa	85	19.0	1		3
P19656	Zea mays	Plants	120	27.0	1		3
P00750	Homo sapiens	Metazoa	562	22.0	1		3
Q9TTE1	Bos taurus	Metazoa	411	24.0	1		3
P20959	Bos taurus	Metazoa	291	27.0	1		3
Q03180	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	325	18.0	1		3
P38570	Homo sapiens	Metazoa	1179	18.0	1		3
Q16602	Homo sapiens	Metazoa	461	22.0	1		3
Q9VA83	Drosophila melanogaster	Metazoa	227	19.0	1		3
B7FDP2	Centruroides suffusus	Metazoa	87	19.0	1		3
O75711	Homo sapiens	Metazoa	98	20.0	1		3
Q8GTM0	Nicotiana alata	Plants	105	25.0	1		3
P13727	Homo sapiens	Metazoa	222	16.0	1		3
P41361	Bos taurus	Metazoa	465	32.0	1		3
Q867F4	Androctonus australis	Metazoa	59	22.0	1		3
P56972	Pandinus imperator	Metazoa	94	19.0	1		3
Q8MUP7	Ixodes scapularis	Metazoa	102	21.0	1		3
P28797	Cavia porcellus	Metazoa	605	17.0	1		3
Q5KQS1	Gloydius blomhoffii	Metazoa	324	19.0	1		3
P86408	Mesobuthus eupeus	Metazoa	85	19.0	1		3
Q9NJP7	Olivierus martensii	Metazoa	56	28.0	1		3
P00690	Sus scrofa	Metazoa	511	15.0	1		3
Q86YL7	Homo sapiens	Metazoa	162	22.0	1		3
P35053	Rattus norvegicus	Metazoa	558	23.0	1		3
Q2YHJ2	Craspedocephalus borneensis	Metazoa	138	16.0	1		3
P04004	Homo sapiens	Metazoa	478	19.0	1		3
P48439	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	350	22.0	1		3
P22412	Sus scrofa	Metazoa	409	16.0	1		3
Q00657	Rattus norvegicus	Metazoa	2326	29.0	1		3
Q63617	Rattus norvegicus	Metazoa	999	32.0	1		3
P83958	Actinidia chinensis var. chinensis	Plants	225	24.0	1		3
Q9UAH3	Pinctada fucata	Metazoa	129	23.0	1		3
P06859	Protobothrops flavoviridis	Metazoa	138	16.0	1		3
Q9GSA4	Galleria mellonella	Metazoa	113	19.0	1		3
Q9ERQ6	Rattus norvegicus	Metazoa	571	30.0	1		3
P01492	Centruroides sculpturatus	Metazoa	87	19.0	1		3
Q9BZR6	Homo sapiens	Metazoa	473	26.0	1		3
P21744	Rattus norvegicus	Metazoa	254	21.0	1		3
Q6ASY2	Oryza sativa subsp. japonica	Plants	178	26.0	1		3
P18626	Capra hircus	Metazoa	214	15.0	1		3
P12799	Bos taurus	Metazoa	444	24.0	1		3
B9A8D7	Crassostrea virginica	Metazoa	85	18.0	1		3
P01326	Mus musculus	Metazoa	110	24.0	1		3
P24627	Bos taurus	Metazoa	708	19.0	1		3
O93426	Crotalus durissus terrificus	Metazoa	158	23.0	1		3
P00652	Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107)	Fungi	132	26.0	1		3
Q15762	Homo sapiens	Metazoa	336	18.0	1		3
P02663	Bos taurus	Metazoa	222	15.0	1		3
Q60477	Cavia porcellus	Metazoa	244	21.0	1		3
O95750	Homo sapiens	Metazoa	216	24.0	1		3
Q40975	Papaver rhoeas	Plants	139	19.0	1		3
P35496	Sus scrofa	Metazoa	137	21.0	1		3
P05307	Bos taurus	Metazoa	510	20.0	1		3
Q8T1G4	Dictyostelium discoideum	Other	181	19.0	1		3
Q04756	Homo sapiens	Metazoa	655	35.0	1		3
P01335	Cyprinus carpio	Metazoa	108	21.0	1		3
P13224	Homo sapiens	Metazoa	206	25.0	1		3
Q76CA2	Monoplex parthenopeus	Metazoa	275	23.0	1		3
B8JLQ9	Danio rerio	Metazoa	363	24.0	1		3
Q15399	Homo sapiens	Metazoa	786	24.0	1		3
P12763	Bos taurus	Metazoa	359	18.0	1		3
P01139	Mus musculus	Metazoa	241	18.0	1		3
P19876	Homo sapiens	Metazoa	107	34.0	1		3
O13547	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	238	22.0	1		3
P02746	Homo sapiens	Metazoa	253	27.0	1		3
P12420	Equus caballus	Metazoa	229	30.0	1		3
Q02988	Pleurodeles waltl	Metazoa	172	20.0	1		3
B8M9H9	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006)	Fungi	358	18.0	1		3
Q9PTC3	Notechis ater	Metazoa	201	19.0	1		3
P02669	Ovis aries	Metazoa	192	21.0	1		3
G1CWH8	Clitoria ternatea	Plants	123	28.0	1		3
P02760	Homo sapiens	Metazoa	352	19.0	1		3
Q9UAC8	Olivierus martensii	Metazoa	85	19.0	1		3
P81534	Homo sapiens	Metazoa	67	22.0	1		3
C1IC53	Walterinnesia aegyptia	Metazoa	83	24.0	1		3
P82290	Anopheles gambiae	Metazoa	58	23.0	1		3
P52013	Caenorhabditis elegans	Metazoa	204	22.0	1		3
Q9DGI0	Bothrops jararaca	Metazoa	341	19.0	1		3
P00987	Bungarus multicinctus	Metazoa	85	24.0	1		3
P67977	Semnopithecus entellus	Metazoa	148	18.0	1		3
P01714	Homo sapiens	Metazoa	112	20.0	1		3
P08905	Mus musculus	Metazoa	148	18.0	1		3
P10762	Locusta migratoria	Metazoa	179	16.0	1		3
Q9Y6C2	Homo sapiens	Metazoa	1016	21.0	1		3
Q96HE7	Homo sapiens	Metazoa	468	23.0	1		3
P01721	Homo sapiens	Metazoa	117	19.0	1		3
Q86YD3	Homo sapiens	Metazoa	366	26.0	1		3
P04405	Glycine max	Plants	485	18.0	1		3
Q8NBI3	Homo sapiens	Metazoa	349	25.0	1		3
Q9NBW2	Olivierus martensii	Metazoa	83	19.0	1		3
P37173	Homo sapiens	Metazoa	567	22.0	1		3
O43827	Homo sapiens	Metazoa	346	26.0	1		3
Q96DU3	Homo sapiens	Metazoa	332	21.0	1		3
Q90935	Gallus gallus	Metazoa	410	16.0	1		3
P59899	Centruroides limpidus	Metazoa	87	19.0	1		3
P0C8G6	Pomacea canaliculata	Metazoa	565	26.0	1		3
O93427	Crotalus durissus terrificus	Metazoa	148	23.0	1		3
P10909	Homo sapiens	Metazoa	449	22.0	1		3
P0DUQ6	Conus planorbis	Metazoa	70	21.0	1		3
P86406	Mesobuthus eupeus	Metazoa	86	20.0	1		3
Q02747	Homo sapiens	Metazoa	115	21.0	1		3
P28798	Mus musculus	Metazoa	589	17.0	1		3
P83472	Lumbricus terrestris	Metazoa	86	22.0	1		3
P60301	Naja atra	Metazoa	81	21.0	1		3
P26842	Homo sapiens	Metazoa	260	19.0	1		3
P18650	Sus scrofa	Metazoa	317	18.0	1		3
Q945U0	Phytophthora sojae	Other	257	28.0	1		3
P06868	Bos taurus	Metazoa	812	26.0	1		3
O95968	Homo sapiens	Metazoa	90	21.0	1		3
I2G9B4	Macrovipera lebetina transmediterranea	Metazoa	95	24.0	1		3
