accession	organism	kingdom	length	tm_helix_start_leq_90
Q9Y6X9	Homo sapiens	Metazoa	1032	false
Q13268	Homo sapiens	Metazoa	280	false
Q9Y2S7	Homo sapiens	Metazoa	368	false
O09174	Mus musculus	Metazoa	381	false
P25688	Mus musculus	Metazoa	303	false
Q62651	Rattus norvegicus	Metazoa	327	false
Q8LFT2	Arabidopsis thaliana	Plants	780	false
P00352	Homo sapiens	Metazoa	501	false
P47897	Homo sapiens	Metazoa	775	false
P52566	Homo sapiens	Metazoa	201	false
P53396	Homo sapiens	Metazoa	1101	false
P55786	Homo sapiens	Metazoa	919	false
P62854	Homo sapiens	Metazoa	115	false
P78417	Homo sapiens	Metazoa	241	false
Q04828	Homo sapiens	Metazoa	323	false
Q13946	Homo sapiens	Metazoa	482	false
Q149M9	Homo sapiens	Metazoa	1564	false
Q6XQN6	Homo sapiens	Metazoa	538	false
Q86TX2	Homo sapiens	Metazoa	421	false
Q8NBF2	Homo sapiens	Metazoa	726	false
Q96DG6	Homo sapiens	Metazoa	245	false
Q9NUS5	Homo sapiens	Metazoa	200	false
Q9UPZ3	Homo sapiens	Metazoa	1129	false
Q9Y3U8	Homo sapiens	Metazoa	105	false
Q9Y572	Homo sapiens	Metazoa	518	false
P09874	Homo sapiens	Metazoa	1014	false
Q96K12	Homo sapiens	Metazoa	515	false
Q9ULZ3	Homo sapiens	Metazoa	195	false
O75381	Homo sapiens	Metazoa	377	false
P28328	Homo sapiens	Metazoa	305	true
Q9UBJ2	Homo sapiens	Metazoa	740	false
O00623	Homo sapiens	Metazoa	359	true
O15228	Homo sapiens	Metazoa	680	false
O60683	Homo sapiens	Metazoa	326	true
P28288	Homo sapiens	Metazoa	659	true
O00463	Homo sapiens	Metazoa	557	false
O43314	Homo sapiens	Metazoa	1243	false
O43739	Homo sapiens	Metazoa	400	false
O75688	Homo sapiens	Metazoa	479	false
O95396	Homo sapiens	Metazoa	460	false
O96033	Homo sapiens	Metazoa	88	false
P00966	Homo sapiens	Metazoa	412	false
P0CG30	Homo sapiens	Metazoa	244	false
P23743	Homo sapiens	Metazoa	735	false
P24386	Homo sapiens	Metazoa	653	false
P35228	Homo sapiens	Metazoa	1153	false
P46778	Homo sapiens	Metazoa	160	false
P49207	Homo sapiens	Metazoa	117	false
P49902	Homo sapiens	Metazoa	561	false
P53004	Homo sapiens	Metazoa	296	false
Q16222	Homo sapiens	Metazoa	522	false
Q5GLZ8	Homo sapiens	Metazoa	1057	false
Q6AWC2	Homo sapiens	Metazoa	1192	false
Q6NVU6	Homo sapiens	Metazoa	218	false
Q6PD74	Homo sapiens	Metazoa	315	false
Q8IWZ4	Homo sapiens	Metazoa	224	false
Q8N3V7	Homo sapiens	Metazoa	929	false
Q969X0	Homo sapiens	Metazoa	211	false
Q96MI9	Homo sapiens	Metazoa	1112	false
P50091	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	288	false
Q8LF36	Arabidopsis thaliana	Plants	492	false
Q8N3C0	Homo sapiens	Metazoa	2202	false
A4D126	Homo sapiens	Metazoa	451	false
A6NHX0	Homo sapiens	Metazoa	329	false
O00764	Homo sapiens	Metazoa	312	false
P18283	Homo sapiens	Metazoa	190	false
P21399	Homo sapiens	Metazoa	889	false
P49888	Homo sapiens	Metazoa	294	false
P49915	Homo sapiens	Metazoa	693	false
P54136	Homo sapiens	Metazoa	660	false
P61353	Homo sapiens	Metazoa	136	false
P62273	Homo sapiens	Metazoa	56	false
P62942	Homo sapiens	Metazoa	108	false
P84074	Homo sapiens	Metazoa	193	false
Q05084	Homo sapiens	Metazoa	483	false
Q13155	Homo sapiens	Metazoa	320	false
Q14032	Homo sapiens	Metazoa	418	false
Q16719	Homo sapiens	Metazoa	465	false
Q86UK7	Homo sapiens	Metazoa	904	false
Q8TAC2	Homo sapiens	Metazoa	188	false
Q8WYK0	Homo sapiens	Metazoa	555	false
Q96BD6	Homo sapiens	Metazoa	273	false
Q9BUX1	Homo sapiens	Metazoa	222	false
Q9HCR9	Homo sapiens	Metazoa	933	false
Q9NQW7	Homo sapiens	Metazoa	623	false
Q9NY33	Homo sapiens	Metazoa	737	false
Q9ULE0	Homo sapiens	Metazoa	1216	false
Q9ULP0	Homo sapiens	Metazoa	352	false
Q9UQN3	Homo sapiens	Metazoa	213	false
O00204	Homo sapiens	Metazoa	365	false
P19367	Homo sapiens	Metazoa	917	false
P52789	Homo sapiens	Metazoa	917	false
P41921	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	483	false
Q92968	Homo sapiens	Metazoa	403	false
P31327	Homo sapiens	Metazoa	1500	false
Q9NSK7	Homo sapiens	Metazoa	141	true
Q13608	Homo sapiens	Metazoa	980	false
P49758	Homo sapiens	Metazoa	472	false
O60524	Homo sapiens	Metazoa	1076	false
O94822	Homo sapiens	Metazoa	1766	false
O96007	Homo sapiens	Metazoa	188	false
P14868	Homo sapiens	Metazoa	501	false
P22061	Homo sapiens	Metazoa	227	false
P26374	Homo sapiens	Metazoa	656	false
P63220	Homo sapiens	Metazoa	83	false
Q02878	Homo sapiens	Metazoa	288	false
Q07020	Homo sapiens	Metazoa	188	false
Q14432	Homo sapiens	Metazoa	1141	true
Q15126	Homo sapiens	Metazoa	192	false
Q16773	Homo sapiens	Metazoa	422	false
Q92615	Homo sapiens	Metazoa	738	false
Q96G03	Homo sapiens	Metazoa	612	false
Q9BRS2	Homo sapiens	Metazoa	568	false
Q9H0F6	Homo sapiens	Metazoa	387	false
Q9H0R1	Homo sapiens	Metazoa	490	false
Q9H227	Homo sapiens	Metazoa	469	false
Q9H9E3	Homo sapiens	Metazoa	785	false
Q9NX09	Homo sapiens	Metazoa	232	false
Q9UBB6	Homo sapiens	Metazoa	729	false
Q9Y233	Homo sapiens	Metazoa	1055	false
Q9Y3R4	Homo sapiens	Metazoa	380	false
Q9NP80	Homo sapiens	Metazoa	782	false
P04049	Homo sapiens	Metazoa	648	false
Q15714	Homo sapiens	Metazoa	1073	false
Q8GW43	Arabidopsis thaliana	Plants	476	false
Q9FWA3	Arabidopsis thaliana	Plants	486	false
Q96MP8	Homo sapiens	Metazoa	289	false
Q96D53	Homo sapiens	Metazoa	544	false
Q9NZ56	Homo sapiens	Metazoa	1722	false
Q9BXM7	Homo sapiens	Metazoa	581	false
O00750	Homo sapiens	Metazoa	1634	false
Q7RTR0	Homo sapiens	Metazoa	991	false
Q01105	Homo sapiens	Metazoa	290	false
Q63276	Rattus norvegicus	Metazoa	420	false
Q96BY2	Homo sapiens	Metazoa	351	false
O75368	Homo sapiens	Metazoa	114	false
Q9BYG8	Homo sapiens	Metazoa	508	false
P21980	Homo sapiens	Metazoa	687	false
O60291	Homo sapiens	Metazoa	552	false
O15294	Homo sapiens	Metazoa	1046	false
Q9NPP4	Homo sapiens	Metazoa	1024	false
O00186	Homo sapiens	Metazoa	592	false
Q6PFW1	Homo sapiens	Metazoa	1433	false
Q6ZT62	Homo sapiens	Metazoa	677	false
Q86TV6	Homo sapiens	Metazoa	843	false
Q8TCU6	Homo sapiens	Metazoa	1659	false
Q9BYI3	Homo sapiens	Metazoa	521	false
O04951	Arabidopsis thaliana	Plants	307	false
P41562	Rattus norvegicus	Metazoa	414	false
P50101	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1230	false
Q8N884	Homo sapiens	Metazoa	522	false
Q9Y4P1	Homo sapiens	Metazoa	393	false
O60443	Homo sapiens	Metazoa	496	false
Q8N2Y8	Homo sapiens	Metazoa	1516	false
Q9BZ67	Homo sapiens	Metazoa	464	false
Q969K3	Homo sapiens	Metazoa	372	false
Q01082	Homo sapiens	Metazoa	2364	false
P05230	Homo sapiens	Metazoa	155	false
P14735	Homo sapiens	Metazoa	1019	false
P49619	Homo sapiens	Metazoa	791	false
P59044	Homo sapiens	Metazoa	892	false
Q96JJ3	Homo sapiens	Metazoa	720	false
Q9NZ09	Homo sapiens	Metazoa	502	false
O95571	Homo sapiens	Metazoa	254	false
Q96LW4	Homo sapiens	Metazoa	560	false
O43808	Homo sapiens	Metazoa	307	true
Q86W56	Homo sapiens	Metazoa	976	false
Q99497	Homo sapiens	Metazoa	189	false
Q9Y3D6	Homo sapiens	Metazoa	152	false
P46379	Homo sapiens	Metazoa	1132	false
Q96CM3	Homo sapiens	Metazoa	377	false
O43504	Homo sapiens	Metazoa	91	false
P07814	Homo sapiens	Metazoa	1512	false
Q4ADV7	Homo sapiens	Metazoa	1423	false
O43524	Homo sapiens	Metazoa	673	false
Q13574	Homo sapiens	Metazoa	928	false
O43865	Homo sapiens	Metazoa	530	false
Q9H6R0	Homo sapiens	Metazoa	707	false
Q66K74	Homo sapiens	Metazoa	1059	false
Q9GZV1	Homo sapiens	Metazoa	360	false
Q7LBR1	Homo sapiens	Metazoa	199	false
Q969Q5	Homo sapiens	Metazoa	203	false
P38646	Homo sapiens	Metazoa	679	false
O95831	Homo sapiens	Metazoa	613	false
Q92546	Homo sapiens	Metazoa	391	false
Q9NZZ3	Homo sapiens	Metazoa	219	false
Q07820	Homo sapiens	Metazoa	350	false
P15104	Homo sapiens	Metazoa	373	false
Q8TC71	Homo sapiens	Metazoa	538	false
Q05315	Homo sapiens	Metazoa	142	false
P18054	Homo sapiens	Metazoa	663	false
Q14116	Homo sapiens	Metazoa	193	false
P41220	Homo sapiens	Metazoa	211	false
Q14154	Homo sapiens	Metazoa	515	false
P19484	Homo sapiens	Metazoa	476	false
P19532	Homo sapiens	Metazoa	575	false
Q13283	Homo sapiens	Metazoa	466	false
Q96PU8	Homo sapiens	Metazoa	341	false
Q9UH77	Homo sapiens	Metazoa	587	false
A6NK58	Homo sapiens	Metazoa	231	false
O43716	Homo sapiens	Metazoa	136	false
O43837	Homo sapiens	Metazoa	385	false
O75127	Homo sapiens	Metazoa	700	false
P13995	Homo sapiens	Metazoa	350	false
P23378	Homo sapiens	Metazoa	1020	false
P23434	Homo sapiens	Metazoa	173	false
P43304	Homo sapiens	Metazoa	727	false
P82930	Homo sapiens	Metazoa	218	false
P83111	Homo sapiens	Metazoa	547	false
P86397	Homo sapiens	Metazoa	168	false
Q14249	Homo sapiens	Metazoa	297	false
Q16540	Homo sapiens	Metazoa	153	false
Q49AM1	Homo sapiens	Metazoa	385	false
Q4G0N4	Homo sapiens	Metazoa	442	false
Q4G176	Homo sapiens	Metazoa	576	false
Q5EBM0	Homo sapiens	Metazoa	449	false
Q5T440	Homo sapiens	Metazoa	356	false
Q68CK6	Homo sapiens	Metazoa	577	false
Q86U28	Homo sapiens	Metazoa	154	false
Q8TB37	Homo sapiens	Metazoa	319	false
Q969P6	Homo sapiens	Metazoa	601	false
Q96HY7	Homo sapiens	Metazoa	919	false
Q96IR7	Homo sapiens	Metazoa	371	false
Q99757	Homo sapiens	Metazoa	166	false
Q9BRQ6	Homo sapiens	Metazoa	235	false
Q9BVL4	Homo sapiens	Metazoa	669	false
Q9BW91	Homo sapiens	Metazoa	350	false
Q9BX68	Homo sapiens	Metazoa	163	false
Q9H0U6	Homo sapiens	Metazoa	180	false
Q9H3H1	Homo sapiens	Metazoa	467	false
Q9H3J6	Homo sapiens	Metazoa	166	false
Q9H9J2	Homo sapiens	Metazoa	332	false
Q9H9P8	Homo sapiens	Metazoa	463	false
Q9NPB1	Homo sapiens	Metazoa	228	false
Q9UKU7	Homo sapiens	Metazoa	415	false
Q9Y375	Homo sapiens	Metazoa	327	false
Q9Y399	Homo sapiens	Metazoa	296	false
Q9Y3B7	Homo sapiens	Metazoa	192	false
O00142	Homo sapiens	Metazoa	265	false
O15091	Homo sapiens	Metazoa	583	false
O75570	Homo sapiens	Metazoa	445	false
P24752	Homo sapiens	Metazoa	427	false
P31937	Homo sapiens	Metazoa	336	false
P46199	Homo sapiens	Metazoa	727	false
P49753	Homo sapiens	Metazoa	483	false
P82650	Homo sapiens	Metazoa	360	false
Q16698	Homo sapiens	Metazoa	335	false
Q53R41	Homo sapiens	Metazoa	847	false
Q86TS9	Homo sapiens	Metazoa	123	false
Q86TW2	Homo sapiens	Metazoa	530	false
Q8IVS2	Homo sapiens	Metazoa	390	false
Q8N183	Homo sapiens	Metazoa	169	false
Q8N573	Homo sapiens	Metazoa	874	false
Q92665	Homo sapiens	Metazoa	395	false
Q96DV4	Homo sapiens	Metazoa	380	false
Q96EY7	Homo sapiens	Metazoa	689	false
Q96I23	Homo sapiens	Metazoa	114	false
Q96NN9	Homo sapiens	Metazoa	605	false
Q96T66	Homo sapiens	Metazoa	252	false
Q99551	Homo sapiens	Metazoa	399	false
Q9BXH1	Homo sapiens	Metazoa	193	false
Q9BYV1	Homo sapiens	Metazoa	514	false
Q9H0R6	Homo sapiens	Metazoa	528	false
Q9HBH1	Homo sapiens	Metazoa	243	false
Q9NQ50	Homo sapiens	Metazoa	206	false
Q9NUQ9	Homo sapiens	Metazoa	324	false
Q9NWU1	Homo sapiens	Metazoa	459	false
Q9NYK5	Homo sapiens	Metazoa	338	false
Q9P032	Homo sapiens	Metazoa	175	false
Q9P0J1	Homo sapiens	Metazoa	537	false
Q9P2R7	Homo sapiens	Metazoa	463	false
Q9Y2R9	Homo sapiens	Metazoa	242	false
Q9Y6G3	Homo sapiens	Metazoa	142	false
O14561	Homo sapiens	Metazoa	156	false
O43521	Homo sapiens	Metazoa	198	false
O75648	Homo sapiens	Metazoa	421	false
O75879	Homo sapiens	Metazoa	557	false
P0C7P0	Homo sapiens	Metazoa	127	false
P22570	Homo sapiens	Metazoa	491	false
P32322	Homo sapiens	Metazoa	319	false
P50213	Homo sapiens	Metazoa	366	false
P82673	Homo sapiens	Metazoa	323	false
P82932	Homo sapiens	Metazoa	125	false
Q13794	Homo sapiens	Metazoa	54	false
Q53FZ2	Homo sapiens	Metazoa	586	false
Q53S33	Homo sapiens	Metazoa	107	false
Q68DD2	Homo sapiens	Metazoa	849	false
Q6UB28	Homo sapiens	Metazoa	335	false
Q6UB35	Homo sapiens	Metazoa	978	false
Q7L3V2	Homo sapiens	Metazoa	364	false
Q7Z7H8	Homo sapiens	Metazoa	261	false
Q8IXM3	Homo sapiens	Metazoa	137	false
Q8N4E7	Homo sapiens	Metazoa	242	false
Q96EL3	Homo sapiens	Metazoa	112	false
Q9BQP7	Homo sapiens	Metazoa	344	false
Q9BSH4	Homo sapiens	Metazoa	297	false
Q9BYC8	Homo sapiens	Metazoa	188	false
Q9HAC7	Homo sapiens	Metazoa	438	false
Q9NRX2	Homo sapiens	Metazoa	175	false
Q9NWU5	Homo sapiens	Metazoa	206	false
Q9NZE8	Homo sapiens	Metazoa	188	false
Q9UI32	Homo sapiens	Metazoa	602	false
Q9Y3D3	Homo sapiens	Metazoa	137	false
Q9Y3E2	Homo sapiens	Metazoa	137	false
P35790	Homo sapiens	Metazoa	457	false
Q63HN8	Homo sapiens	Metazoa	5207	false
Q9HB07	Homo sapiens	Metazoa	376	false
P61224	Homo sapiens	Metazoa	184	false
Q14156	Homo sapiens	Metazoa	821	false
Q9Y2G0	Homo sapiens	Metazoa	817	false
Q9Y6H1	Homo sapiens	Metazoa	151	false
Q9NX47	Homo sapiens	Metazoa	278	false
Q96MT3	Homo sapiens	Metazoa	831	false
Q9H299	Homo sapiens	Metazoa	93	false
O00763	Homo sapiens	Metazoa	2458	false
O60333	Homo sapiens	Metazoa	1816	false
O60783	Homo sapiens	Metazoa	128	false
P42765	Homo sapiens	Metazoa	397	false
P43897	Homo sapiens	Metazoa	325	false
P51398	Homo sapiens	Metazoa	398	false
P56134	Homo sapiens	Metazoa	94	true
P59942	Homo sapiens	Metazoa	119	false
Q13405	Homo sapiens	Metazoa	166	false
Q16822	Homo sapiens	Metazoa	640	false
Q3SXM5	Homo sapiens	Metazoa	330	false
Q5SXM8	Homo sapiens	Metazoa	178	false
Q5T2R2	Homo sapiens	Metazoa	415	false
Q6IB77	Homo sapiens	Metazoa	296	false
Q6P4F2	Homo sapiens	Metazoa	183	false
Q7L5Y1	Homo sapiens	Metazoa	443	false
Q7Z695	Homo sapiens	Metazoa	626	false
Q86YH6	Homo sapiens	Metazoa	399	false
Q8TDB4	Homo sapiens	Metazoa	240	true
Q96DX5	Homo sapiens	Metazoa	294	false
Q96E29	Homo sapiens	Metazoa	417	false
Q96I59	Homo sapiens	Metazoa	477	false
Q96SZ6	Homo sapiens	Metazoa	601	false
Q96T21	Homo sapiens	Metazoa	854	false
Q9H825	Homo sapiens	Metazoa	291	false
Q9NNW7	Homo sapiens	Metazoa	524	false
Q9NUJ1	Homo sapiens	Metazoa	306	false
Q9NWQ9	Homo sapiens	Metazoa	140	false
Q9NWS8	Homo sapiens	Metazoa	449	false
Q9UDR5	Homo sapiens	Metazoa	926	false
Q9UI17	Homo sapiens	Metazoa	866	false
Q9UII2	Homo sapiens	Metazoa	106	false
Q9UK39	Homo sapiens	Metazoa	431	false
Q9Y3D2	Homo sapiens	Metazoa	182	false
Q9Y3D9	Homo sapiens	Metazoa	190	false
P56589	Homo sapiens	Metazoa	373	true
